"file","beforeWidth","beforeHeight","afterWidth","afterHeight","removedPixels","removedPercent","beforeBytes","afterBytes"
"assets/images/ad_parts/sheet1/sheet1_01.png","307","256","273","237","28150","35.82","149092","149801"
"assets/images/ad_parts/sheet1/sheet1_02.png","307","256","291","251","36211","46.07","143847","132374"
"assets/images/ad_parts/sheet1/sheet1_03.png","308","256","237","239","54878","69.6","78973","65425"
"assets/images/ad_parts/sheet1/sheet1_04.png","307","256","284","250","36551","46.51","117619","105365"
"assets/images/ad_parts/sheet1/sheet1_05.png","307","256","277","250","35875","45.65","126333","123050"
"assets/images/ad_parts/sheet1/sheet1_06.png","307","256","275","256","36068","45.89","129383","120683"
"assets/images/ad_parts/sheet1/sheet1_07.png","307","256","277","247","41682","53.04","134004","114571"
"assets/images/ad_parts/sheet1/sheet1_08.png","308","256","274","243","29752","37.73","124206","115597"
"assets/images/ad_parts/sheet1/sheet1_09.png","307","256","269","256","38478","48.96","128324","117080"
"assets/images/ad_parts/sheet1/sheet1_10.png","307","256","279","256","36238","46.11","141323","127280"
"assets/images/ad_parts/sheet1/sheet1_11.png","307","256","275","248","45635","58.07","121007","104663"
"assets/images/ad_parts/sheet1/sheet1_12.png","307","256","217","252","49206","62.61","99439","88138"
"assets/images/ad_parts/sheet1/sheet1_13.png","308","256","252","250","37902","48.07","104652","96548"
"assets/images/ad_parts/sheet1/sheet1_14.png","307","256","273","251","50576","64.35","87789","72071"
"assets/images/ad_parts/sheet1/sheet1_15.png","307","256","266","252","49553","63.05","83180","65434"
"assets/images/ad_parts/sheet1/sheet1_16.png","307","256","290","238","44121","56.14","110610","87654"
"assets/images/ad_parts/sheet1/sheet1_17.png","307","256","293","233","49648","63.17","92763","79275"
"assets/images/ad_parts/sheet1/sheet1_18.png","308","256","305","238","31218","39.59","147520","147606"
"assets/images/ad_parts/sheet1/sheet1_19.png","307","256","284","237","33661","42.83","103726","96246"
"assets/images/ad_parts/sheet1/sheet1_20.png","307","256","295","236","37497","47.71","128117","115640"
"assets/images/ad_parts/sheet2/sheet2_01.png","307","256","293","245","32631","41.52","141572","137678"
"assets/images/ad_parts/sheet2/sheet2_02.png","307","256","300","242","30738","39.11","144165","139164"
"assets/images/ad_parts/sheet2/sheet2_03.png","308","256","307","252","24886","31.56","157024","154916"
"assets/images/ad_parts/sheet2/sheet2_04.png","307","256","289","249","30097","38.3","139613","134322"
"assets/images/ad_parts/sheet2/sheet2_05.png","307","256","306","253","34286","43.63","136273","129015"
"assets/images/ad_parts/sheet2/sheet2_06.png","307","256","280","255","34432","43.81","139182","136735"
"assets/images/ad_parts/sheet2/sheet2_07.png","307","256","291","256","35925","45.71","119113","113759"
"assets/images/ad_parts/sheet2/sheet2_08.png","308","256","299","256","37671","47.78","129491","119071"
"assets/images/ad_parts/sheet2/sheet2_09.png","307","256","293","256","34566","43.98","139309","133718"
"assets/images/ad_parts/sheet2/sheet2_10.png","307","256","285","252","36177","46.03","106194","100402"
"assets/images/ad_parts/sheet2/sheet2_11.png","307","256","279","247","41538","52.85","108267","95886"
"assets/images/ad_parts/sheet2/sheet2_12.png","307","256","256","252","38672","49.21","99014","94185"
"assets/images/ad_parts/sheet2/sheet2_13.png","308","256","296","239","33738","42.79","113233","106718"
"assets/images/ad_parts/sheet2/sheet2_14.png","307","256","279","256","36784","46.8","131916","128049"
"assets/images/ad_parts/sheet2/sheet2_15.png","307","256","280","249","31002","39.45","145307","142657"
"assets/images/ad_parts/sheet2/sheet2_16.png","307","256","267","233","41957","53.39","91924","84238"
"assets/images/ad_parts/sheet2/sheet2_17.png","307","256","285","216","41217","52.44","87952","79499"
"assets/images/ad_parts/sheet2/sheet2_18.png","308","256","306","233","30527","38.72","156151","146905"
"assets/images/ad_parts/sheet2/sheet2_19.png","307","256","270","216","62892","80.02","65733","48985"
"assets/images/ad_parts/sheet2/sheet2_20.png","307","256","299","232","45344","57.7","112349","98516"
