"file","role","width","height","bytes","transparentPercent","partialPercent","opaquePercent","whiteCorners","contentBounds"
"assets/images/ad_backgrounds/sheet4/sheet4_01.png","background","307","256","147852","0","0","100","2","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_02.png","background","307","256","167526","0","0","100","1","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_03.png","background","308","256","185529","0","0","100","1","0,0,307,255"
"assets/images/ad_backgrounds/sheet4/sheet4_04.png","background","307","256","163405","0","0","100","2","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_05.png","background","307","256","124682","0","0","100","0","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_06.png","background","307","256","191698","0","0","100","2","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_07.png","background","307","256","176613","0","0","100","1","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_08.png","background","308","256","104193","0","0","100","2","0,0,307,255"
"assets/images/ad_backgrounds/sheet4/sheet4_09.png","background","307","256","155250","0","0","100","0","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_10.png","background","307","256","192385","0","0","100","0","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_11.png","background","307","256","81439","0","0","100","2","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_12.png","background","307","256","197722","0","0","100","2","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_13.png","background","308","256","164291","0","0","100","2","0,0,307,255"
"assets/images/ad_backgrounds/sheet4/sheet4_14.png","background","307","256","118159","0","0","100","1","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_15.png","background","307","256","123702","0","0","100","1","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_16.png","background","307","256","103661","0","0","100","2","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_17.png","background","307","256","152357","0","0","100","2","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_18.png","background","308","256","80778","0","0","100","0","0,0,307,255"
"assets/images/ad_backgrounds/sheet4/sheet4_19.png","background","307","256","202294","0","0","100","2","0,0,306,255"
"assets/images/ad_backgrounds/sheet4/sheet4_20.png","background","307","256","150518","0","0","100","0","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_01.png","background","307","256","144713","0","0","100","0","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_02.png","background","307","256","153195","0","0","100","2","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_03.png","background","308","256","200506","0","0","100","0","0,0,307,255"
"assets/images/ad_backgrounds/sheet5/sheet5_04.png","background","307","256","179900","0","0","100","2","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_05.png","background","307","256","150560","0","0","100","0","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_06.png","background","307","256","206743","0","0","100","0","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_07.png","background","307","256","148880","0","0","100","2","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_08.png","background","308","256","125838","0","0","100","0","0,0,307,255"
"assets/images/ad_backgrounds/sheet5/sheet5_09.png","background","307","256","116419","0","0","100","2","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_10.png","background","307","256","187109","0","0","100","0","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_11.png","background","307","256","54872","0","0","100","3","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_12.png","background","307","256","129955","0","0","100","3","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_13.png","background","308","256","84960","0","0","100","3","0,0,307,255"
"assets/images/ad_backgrounds/sheet5/sheet5_14.png","background","307","256","153128","0","0","100","4","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_15.png","background","307","256","194295","0","0","100","1","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_16.png","background","307","256","156127","0","0","100","1","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_17.png","background","307","256","184040","0","0","100","2","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_18.png","background","308","256","109615","0","0","100","2","0,0,307,255"
"assets/images/ad_backgrounds/sheet5/sheet5_19.png","background","307","256","76401","0","0","100","3","0,0,306,255"
"assets/images/ad_backgrounds/sheet5/sheet5_20.png","background","307","256","91855","0","0","100","1","0,0,306,255"
"assets/images/generated/backgrounds/delivery_warehouse.jpg","background","960","720","119300","0","0","100","0","0,0,959,719"
